Uhrzeit;Datum;Temperatur;Niederschlag;Buteo_buteo;Corvus_spec. ;Corvus_corax;Corvus_corone;Corvus_cornix;Lanius_collurio;Milvus_milvus;Milvus_migrans;Perdix_perdix;Phasianus_colchicus;Phoenicurus_phoenicurus;Pica_pica;Strix_aluco;Strunus_vulgaris;Larus_spec. ;Standort
14:00;16.06.2023;15,5;3,1;;;;1;;;;;;;;;;;;Kadaverplatz
08:00;18.06.2023;20,7;0;;;;1;;;;;;;;;;;;Kadaverplatz
19:15;20.06.2023;23,3;4,2;;;;;;;1;;;;;;;;;Kadaverplatz
19:00;21.06.2023;22,3;0;;;;1;;;;;;;;;;;;Kadaverplatz
08:45;29.06.2023;19,3;0,1;;;;1;;1;;;;;;;;;;Kadaverplatz
17:15;01.07.2023;17;0,4;;;1;;;;;;;;;;;;;Kadaverplatz
20:00;01.07.2023;17;0,4;;;;;;;;;;;;;;;;Kadaverplatz
08:30;02.07.2023;17,7;0;;;1;;;;;;;;;;;;;Kadaverplatz
08:45;02.07.2023;17,7;0;;;1;;;;;;;;;;;;;Kadaverplatz
12:15;02.07.2023;17,7;0;;;;;;1;;;;;;;;;;Kadaverplatz
12:30;02.07.2023;17,7;0;;;;;;1;;;;;;;;;;Kadaverplatz
06:30;08.07.2023;23,8;0;;;;;;1;;;;;;;;;;Kadaverplatz
07:15;08.07.2023;23,8;0;;;;;;1;;;;;;;;;;Kadaverplatz
18:30;08.07.2023;23,8;0;;;;;;;;;;;;;;;;Kadaverplatz
20:30;04.07.2023;18,7;1,3;;;;;;;;;1;;;;;;;Kadaverplatz
11:15;05.07.2023;17,6;0;;;1;;;;;;;;;;;;;Kadaverplatz
06:30;06.07.2023;18;0;;;;;;1;;;;;;;;;;Kadaverplatz
21:45;06.07.2023;18;0;;;;;;;;;;1;;;;;;Kadaverplatz
06:45;08.07.2023;23,8;0;;;;;;;;;;;;;;;;Kadaverplatz
22:00;08.07.2023;23,8;0;;;;;;;;;;;;;;;;Kadaverplatz
07:15;10.07.2023;22,4;0;;;;;;;;;;;;;;;;Kadaverplatz
08:00;10.07.2023;22,4;0;;;;1;;;;;;;;;;;;Kadaverplatz
08:45;10.07.2023;22,4;0;;;;1;;;;;;;;;;;;Kadaverplatz
12:15;10.07.2023;22,4;0;;;;;;;;;;;;;;;;Kadaverplatz
00:15;11.07.2023;25;0,2;;;;;;;;;;;;;;;;Kadaverplatz
07:30;11.07.2023;25;0,2;;;;;;1;;;;;;;;;;Kadaverplatz
18:30;11.07.2023;25;0,2;;;;;;1;;;;;;;;;;Kadaverplatz
07:30;12.07.2023;22,9;0,1;;;;1;;;;;;;;;;;;Kadaverplatz
05:15;13.07.2023;19;0;;;;;;1;;;;;;;;;;Kadaverplatz
06:30;13.07.2023;19;0;;;;;;;;;;2;;;;;;Kadaverplatz
06:45;13.07.2023;19;0;;;;;;;;;;;;;;;;Kadaverplatz
12:00;13.07.2023;19;0;;;;;;;;;;;;;;;;Kadaverplatz
13:15;13.07.2023;19;0;;;;;;;;;;;;;;;;Kadaverplatz
06:30;14.07.2023;20,4;0;;;1;;;;;;;;;;;;;Kadaverplatz
06:45;14.07.2023;20,4;0;;;3;6;;;;;;;;;;;;Kadaverplatz
07:15;14.07.2023;20,4;0;;;;1;;;;;;;;;;;;Kadaverplatz
08:00;14.07.2023;20,4;0;;;;1;;;;;;;;;;;;Kadaverplatz
09:45;14.07.2023;20,4;0;;;;;;;;;;;;;;;;Kadaverplatz
05:45;15.07.2023;25;4,8;;;;1;;;;;;;;;;;;Kadaverplatz
06:15;15.07.2023;25;4,8;;;1;;;;;;;;;;;;;Kadaverplatz
06:30;15.07.2023;25;4,8;;;1;;;;;;;;;;;;;Kadaverplatz
07:00;15.07.2023;25;4,8;;;;;;;;;;1;;;;;;Kadaverplatz
07:45;15.07.2023;25;4,8;;;1;;;;;;;;;;;;;Kadaverplatz
08:00;15.07.2023;25;4,8;;;1;;;;;;;;;;;;;Kadaverplatz
14:30;15.07.2023;25;4,8;;;;1;;;;;;;;;;;;Kadaverplatz
15:15;15.07.2023;25;4,8;;;;1;;;;;;;;;;;;Kadaverplatz
08:45;16.07.2023;20,6;0;;;1;;;;;;;;;;;;;Kadaverplatz
09:00;16.07.2023;20,6;0;;;3;;;;;;;;;;;;;Kadaverplatz
12:45;16.07.2023;20,6;0;;;2;;;;;;;;;;;;;Kadaverplatz
14:00;16.07.2023;20,6;0;;;1;;;;;;;;;;;;;Kadaverplatz
14:15;16.07.2023;20,6;0;;;1;;;;;;;;;;;;;Kadaverplatz
16:30;16.07.2023;20,6;0;;;1;;;;;;;;;;;;;Kadaverplatz
17:30;16.07.2023;20,6;0;;;2;;;;;;;;;;;;;Kadaverplatz
18:00;16.07.2023;20,6;0;;;1;;;;;;;;;;;;;Kadaverplatz
18:30;16.07.2023;20,6;0;;;;1;;;;;;;;;;;;Kadaverplatz
06:00;17.07.2023;19,1;0;;1;;;;;;;;;;;;;;Kadaverplatz
08:00;17.07.2023;19,1;0;;;;1;;;;;;;;;;;;Kadaverplatz
08:30;17.07.2023;19,1;0;;;2;;;;;;;;;;;;;Kadaverplatz
08:45;17.07.2023;19,1;0;;;1;;;;;;;;;;;;;Kadaverplatz
11:45;17.07.2023;19,1;0;;;;1;;;;;;;;;;;;Kadaverplatz
07:00;18.07.2023;18,5;0;;;;;;;;;;1;;;;;;Kadaverplatz
07:30;18.07.2023;18,5;0;;;;1;;;;;;;;;;;;Kadaverplatz
07:45;18.07.2023;18,5;0;;;;2;;;;;;;;;;;;Kadaverplatz
08:15;18.07.2023;18,5;0;;;;3;;;;;;;;;;;;Kadaverplatz
08:30;18.07.2023;18,5;0;;;2;1;;;;;;;;;;;;Kadaverplatz
08:45;18.07.2023;18,5;0;;;;1;;;;;;;;;;;;Kadaverplatz
09:00;18.07.2023;18,5;0;;;3;4;;;;;;;;;;;;Kadaverplatz
09:15;18.07.2023;18,5;0;;;3;5;;;;;;;;;;;;Kadaverplatz
09:30;18.07.2023;18,5;0;;;3;2;;;;;;;;;;;;Kadaverplatz
10:15;18.07.2023;18,5;0;;;;;;;;;;;;;;;;Kadaverplatz
10:30;18.07.2023;18,5;0;;;2;;;;;;;;;;;;;Kadaverplatz
10:45;18.07.2023;18,5;0;;;1;2;;;;;;;;;;;;Kadaverplatz
11:00;18.07.2023;18,5;0;;;2;;;;;;;;;;;;;Kadaverplatz
11:15;18.07.2023;18,5;0;;;1;;;;;;;;;;;;;Kadaverplatz
12:45;18.07.2023;18,5;0;;;1;;;;;;;;;;;;;Kadaverplatz
13:00;18.07.2023;18,5;0;;;1;;;;;;;;;;;;;Kadaverplatz
14:15;18.07.2023;18,5;0;;;3;;;;;;;;;;;;;Kadaverplatz
14:30;18.07.2023;18,5;0;;;;;;;;;;;;;;;;Kadaverplatz
15:00;18.07.2023;18,5;0;;;2;;;;;;;;;;;;;Kadaverplatz
15:15;18.07.2023;18,5;0;;;;;;;;;;;;;;;;Kadaverplatz
16:00;18.07.2023;18,5;0;;;1;;;;;;;;;;;;;Kadaverplatz
16:15;18.07.2023;18,5;0;;;1;;;;;;;;;;;;;Kadaverplatz
19:00;18.07.2023;18,5;0;;;;;;1;;;;;;;;;;Kadaverplatz
