Datum;Anlieferer ;Tierart;Kurzbeschreibung;Menge in kg
02.05.2023;Naturkundemuseum Erfurt;Biber;5 ganze Körper ohne Fell und Schädel;83,2
02.05.2023;Naturkundemuseum Erfurt;Eichhörnchen; 3 ganze Körper;0,99
05.05.2023;Naturkundemuseum Erfurt;Wolf;1 Körper ohne Fell, Innereien und Schädel;20
10.05.2023;Naturkundemuseum Erfurt;Fuchs;2 ganze Körper;17,35
10.05.2023;Naturkundemuseum Erfurt;Wolf;1 ganzer Körper ohne Fell und Schädel;15,2
10.05.2023;Naturkundemuseum Erfurt;Biber;2 ganze Körper ohne Fell und Schädel;11,6
10.05.2023;Naturkundemuseum Erfurt;Steinmarder;4 ganze Körper;5
10.05.2023;Naturkundemuseum Erfurt;Reh;Teile;1,2
10.05.2023;Naturkundemuseum Erfurt;Eichhörnchen;1 ganzer Körper;0,3
10.05.2023;Naturkundemuseum Erfurt;Marderhund;1 ganzer Körper ohne Fell und Schädel;4,3
02.06.2023;Naturkundemuseum Erfurt;Biber;2 ganze Körper ohne Fell und Schädel;33
02.06.2023;Naturkundemuseum Erfurt;Wolf;1 ganzer Körper ohne Fell und Schädel;30
03.07.2023;Naturkundemuseum Erfurt;Biber;1 ganzer Körper ohne Fell und Schädel;17
13.07.2023;Naturkundemuseum Erfurt;Biber;2 ganze Körper ohne Fell und Schädel;35
18.07.2023;Naturkundemuseum Erfurt;Ziege;2 Jungtiere <12 Monaten;17
31.08.2023;UNB Erfurt;Steinmarder;1 ganzer Körper;2
22.09.2023;Naturkundemuseum Erfurt;Wolf;2 ganze Körper;30
16.10.2023;Schlachtbetrieb Bärwolf/ UNB;Waschbär;1 ganzer Körper ohne Schädel;7
16.10.2023;Schlachtbetrieb Bärwolf/ UNB;Wasserbüffel;1x Innereien, Haut;150
01.11.2023;Schlachtbetrieb Bärwolf/ UNB;Reh;5x Haut mit Kopf und Beinen;20
01.11.2023;Schlachtbetrieb Bärwolf/ UNB;Zwergziege;2x Innereien und Haut ;100
01.12.2023;Schlachtbetrieb Bärwolf/ UNB;Wasserbüffel;4 Füße, Rippen;15
01.12.2023;Schlachtbetrieb Bärwolf/ UNB;Ziege;3x Innereien;20
07.12.2023;Schlachtbetrieb Bärwolf/ UNB;Rind;1x Innereien, Haut;100
07.12.2023;Schlachtbetrieb Bärwolf/ UNB;Rind;1x Rippen;10
07.12.2023;Schlachtbetrieb Bärwolf/ UNB;Schaf;2x Innereien und Haut ;20
12.12.2023;Schlachtbetrieb Bärwolf/ UNB;Ziege;1x Innereien, Haut, 4 Füße;15
12.12.2023;Schlachtbetrieb Bärwolf/ UNB;Wasserbüffel;1x Innereien, Rippen/ Schulterblatt, 4 Füße;120
15.12.2023;Schlachtbetrieb Bärwolf/ UNB;Schaf;7x Innereien, Haut, Füße;80
15.12.2023;Naturkundemuseum Erfurt;Känguru;2 ganze Körper ohne Fell und Schädel;40
15.12.2023;Schlachtbetrieb Bärwolf/ UNB;Schaf;4x Innereien, Haut, Füße, Rippen;60
15.12.2023;Schlachtbetrieb Bärwolf/ UNB;Rind;Talg;30
